"","Species","Block","Sex","Year","Quota","Adult.Body.Mass.Kg","quota_weight"
"161","Buffalo","Matetsi 5","Male",2012,13,646.33299,8402.32887
"162","Buffalo","Matetsi 1","Male",2009,30,646.33299,19389.9897
"163","Buffalo","Fuller","Male",2001,5,646.33299,3231.66495
"164","Buffalo","Deka Tail","Male",2011,8,646.33299,5170.66392
"165","Buffalo","Matetsi 2","Male",2009,12,646.33299,7755.99588
"166","Buffalo","Matetsi 6","Male",2011,14,646.33299,9048.66186
"167","Buffalo","Matetsi 6","Male",2012,14,646.33299,9048.66186
"168","Buffalo","Matetsi 5","Female",2009,3,646.33299,1938.99897
"169","Buffalo","Matetsi 1","Male",2011,22,646.33299,14219.32578
"170","Buffalo","Matetsi 6","Female",2005,NA,646.33299,NA
"171","Buffalo","Deka Pool","Male",2008,5,646.33299,3231.66495
"172","Buffalo","Matetsi 4","Male",2010,13,646.33299,8402.32887
"173","Buffalo","Hwange 1","Male",2009,4,646.33299,2585.33196
"174","Buffalo","Fuller","Male",2002,6,646.33299,3877.99794
"175","Buffalo","Matetsi 1","Female",2004,4,646.33299,2585.33196
"176","Buffalo","Matetsi 5","Female",2013,0,646.33299,0
"177","Buffalo","Matetsi 1","Female",2009,6,646.33299,3877.99794
"178","Buffalo","Hwange 1","Female",2003,NA,646.33299,NA
"179","Buffalo","Matetsi 1","Female",2006,4,646.33299,2585.33196
"180","Buffalo","Hwange 2","Male",2000,NA,646.33299,NA
"181","Buffalo","Deka Pool","Male",2016,9,646.33299,5816.99691
"182","Buffalo","Deka Tail","Female",2002,NA,646.33299,NA
"183","Buffalo","Deka Pool","Male",2018,9,646.33299,5816.99691
"184","Buffalo","Matetsi 6","Female",2013,0,646.33299,0
"185","Buffalo","Deka Pool","Male",2003,NA,646.33299,NA
"186","Buffalo","Deka Pool","Male",2002,NA,646.33299,NA
"187","Buffalo","Deka Pool","Male",2001,NA,646.33299,NA
"188","Buffalo","Deka Tail","Female",2015,0,646.33299,0
"189","Buffalo","Ngamo & Sikumi","Female",2017,1,646.33299,646.33299
"190","Buffalo","Matetsi 1","Female",2017,0,646.33299,0
"191","Buffalo","Matetsi 1","Female",2018,0,646.33299,0
"192","Buffalo","Hwange 2","Male",2013,3,646.33299,1938.99897
"193","Buffalo","Matetsi 4","Male",2002,NA,646.33299,NA
"194","Buffalo","Matetsi 3","Male",2017,12,646.33299,7755.99588
"195","Buffalo","Deka Tail","Female",2018,0,646.33299,0
"196","Buffalo","Matetsi 4","Male",2007,13,646.33299,8402.32887
"197","Buffalo","Matetsi 4","Male",2009,13,646.33299,8402.32887
"198","Buffalo","Matetsi 1","Male",2006,16,646.33299,10341.32784
"199","Buffalo","Matetsi 1","Male",2010,18,646.33299,11633.99382
"200","Buffalo","Matetsi 2","Male",2000,NA,646.33299,NA
"201","Buffalo","Deka Pool","Female",2004,NA,646.33299,NA
"202","Buffalo","Deka Pool","Female",2005,NA,646.33299,NA
"203","Buffalo","Fuller","Male",2000,NA,646.33299,NA
"204","Buffalo","Matetsi 3","Female",2005,NA,646.33299,NA
"205","Buffalo","Deka Tail","Male",2012,8,646.33299,5170.66392
"206","Buffalo","Kazuma","Female",2000,5,646.33299,3231.66495
"207","Buffalo","Kazuma","Female",2001,4,646.33299,2585.33196
"208","Buffalo","Kazuma","Female",2002,4,646.33299,2585.33196
"209","Buffalo","Kazuma","Female",2003,4,646.33299,2585.33196
"210","Buffalo","Deka Pool","Male",2010,8,646.33299,5170.66392
"211","Buffalo","Deka Pool","Male",2009,5,646.33299,3231.66495
"212","Buffalo","Deka Tail","Female",2004,NA,646.33299,NA
"213","Buffalo","Matetsi 3","Female",2017,0,646.33299,0
"214","Buffalo","Matetsi 1","Female",2002,5,646.33299,3231.66495
"215","Buffalo","Matetsi 5","Female",2012,0,646.33299,0
"216","Buffalo","Matetsi 1","Female",2003,5,646.33299,3231.66495
"217","Buffalo","Matetsi 3","Male",2001,NA,646.33299,NA
"218","Buffalo","Hwange 2","Female",2017,0,646.33299,0
"219","Buffalo","Matetsi 5","Female",2014,0,646.33299,0
"220","Buffalo","Ngamo & Sikumi","Female",2004,4,646.33299,2585.33196
"221","Buffalo","Matetsi 2","Female",2002,NA,646.33299,NA
"222","Buffalo","Deka Tail","Female",2008,4,646.33299,2585.33196
"223","Buffalo","Deka Tail","Female",2009,4,646.33299,2585.33196
"224","Buffalo","Deka Tail","Female",2012,0,646.33299,0
"225","Buffalo","Matetsi 6","Female",2012,0,646.33299,0
"226","Buffalo","Matetsi 6","Female",2011,3,646.33299,1938.99897
"227","Buffalo","Matetsi 6","Female",2014,0,646.33299,0
"228","Buffalo","Matetsi 5","Male",2010,NA,646.33299,NA
"229","Buffalo","Matetsi 3","Male",2013,12,646.33299,7755.99588
"230","Buffalo","Ngamo & Sikumi","Female",2015,2,646.33299,1292.66598
"231","Buffalo","Ngamo & Sikumi","Female",2016,1,646.33299,646.33299
"232","Buffalo","Matetsi 5","Male",2008,13,646.33299,8402.32887
"233","Buffalo","Matetsi 1","Male",2001,15,646.33299,9694.99485
"234","Buffalo","Hwange 2","Male",2012,3,646.33299,1938.99897
"235","Buffalo","Matetsi 1","Male",2003,20,646.33299,12926.6598
"236","Buffalo","Matetsi 2","Female",2014,0,646.33299,0
"237","Buffalo","Matetsi 2","Female",2015,0,646.33299,0
"238","Buffalo","Deka Pool","Female",2000,NA,646.33299,NA
"239","Buffalo","Matetsi 1","Male",2007,15,646.33299,9694.99485
"240","Buffalo","Matetsi 1","Male",2008,16,646.33299,10341.32784
"241","Buffalo","Deka Pool","Female",2002,NA,646.33299,NA
"242","Buffalo","Deka Pool","Female",2003,NA,646.33299,NA
"243","Buffalo","Matetsi 3","Female",2004,NA,646.33299,NA
"244","Buffalo","Hwange 1","Female",2002,NA,646.33299,NA
"245","Buffalo","Hwange 1","Male",2010,4,646.33299,2585.33196
"246","Buffalo","Deka Tail","Male",2013,8,646.33299,5170.66392
"247","Buffalo","Deka Tail","Male",2014,6,646.33299,3877.99794
"248","Buffalo","Deka Tail","Male",2015,6,646.33299,3877.99794
"249","Buffalo","Deka Tail","Male",2016,6,646.33299,3877.99794
"250","Buffalo","Deka Pool","Male",2000,NA,646.33299,NA
"251","Buffalo","Deka Tail","Female",2003,NA,646.33299,NA
"252","Buffalo","Matetsi 3","Male",2000,NA,646.33299,NA
"253","Buffalo","Matetsi 5","Female",2011,3,646.33299,1938.99897
"254","Buffalo","Hwange 1","Female",2000,NA,646.33299,NA
"255","Buffalo","Kazuma","Female",2005,3,646.33299,1938.99897
"256","Buffalo","Hwange 1","Female",2001,NA,646.33299,NA
"257","Buffalo","Fuller","Female",2015,0,646.33299,0
"258","Buffalo","Ngamo & Sikumi","Male",2001,10,646.33299,6463.3299
