"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"2656",2000,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"2657",2009,"ZW","Wildlife (State)","Wildlife","60","Woodland",316.2563712
"2658",2011,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2659",2018,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.0027648
"2660",2003,"ZW","Wildlife (State)","Wildlife","60","Woodland",87.85396224
"2661",2007,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.0027648
"2662",2004,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"2663",2013,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"2664",1998,"ZW","Forest (State)","Forestry","60","Woodland",0.17892864
"2665",2015,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.26839296
"2666",2006,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",67.27716864
"2667",2007,"ZW","Mixed (Private)","Wildlife","60","Woodland",0.17892864
"2668",1995,"ZW","Forest (State)","Forestry","60","Woodland",0.17892864
"2669",1994,"ZW","Forest (State)","Forestry","60","Woodland",0.17892864
"2670",2001,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",74.61324288
"2671",2011,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",96.174144
"2672",2000,"BW","Wildlife (State)","Wildlife","60","Woodland",0.08946432
"2673",1996,"ZW","Mixed (Private)","Pastoral/bush/built","60","Woodland",1.87875072
"2674",2004,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
"2675",2005,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",63.25127424
"2676",1992,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2677",2010,"ZW","Mixed (Private)","Mining/pastoral/bush/built","60","Woodland",18.16125696
"2678",2004,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",0.17892864
"2679",2013,"ZW","Forest (State)","Forestry","60","Woodland",63.78806016
"2680",1998,"ZW","Wildlife (Communal)","Wildlife","60","Woodland",179.64435456
"2681",2012,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.27115776
"2682",2011,"ZW","Forest (State)","Forestry","60","Woodland",0.08946432
"2683",2004,"BW","Commercial Agriculture (Private)","Commercial Agriculture","60","Woodland",90.44842752
"2684",1997,"ZW","Mixed (Communal)","Arable/pastoral/built","60","Woodland",82.12824576
"2685",2009,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",225.27115776
"2686",2014,"ZW","Mixed (Private)","Arable/pastoral/built","60","Woodland",1.07357184
